Alfredo Zitarrosa	associated with musician	Ciro Pérez
Aaron Bertram	plays for	Suburban Legends bands
Jones County	is in	Texas
Alfred Garth Jones	died in	Sidcup, London
Atlantic City International Airport	is located at	23 metres above sea level
Alan Shepard	has died in	California
Andrew Rayel	is associated with	Sylvia Tosun
United States of America	is where	Auburn, Alabama is located
Appleton International Airport	runway length	2,439 kilometers
Alcatraz Versus the Evil Librarians	is from	United States
Baku Turkish Martyrs' Memorial	dedicated to	Ottoman Army Soldiers killed in Battle of Baku
Ireland	ethnic group	white people
Andra	was born in	Romania
1089 Tama	formerly known as	A919 HA; 1927 WB
Native Americans	are an ethnic group within	United States
Acharya Institute of Technology	established in	2000
Icolo e Bengo	is a part of	Luanda Province
Germany	people are called	Germans
Antwerp International Airport	operated by	Flemish department of Mobility and Public Works
FC Terek Grozny	based in	Grozy
Alhambra	is long	63800.0 millimetres
Appleton International Airport	runway name	3/21
Anders Osborne	is a	Rock guitarist
Hip hop music	originated from	disco music
Andra	sings genre	Rhythm and blues
United Kingdom	currency is	pounds sterling
Ab Klink	is national of	Netherlands
Paraguay	led by	Juan Afara
Malaysian Indian	is ethnic group in	Malaysia
School of Business and Social Sciences at Aarhus University	established in	1928
Japan	main ethnic group	Japanese
Al Anderson	plays	guitar
Andrews County Airport	is located in	Texas
Abilene Regional Airport	has runway name	17R/35L
Alfons Gorbach	died in	Graz
Alessio Romagnoli	belongs to	A.C. Milan
Abilene Regional Airport	ICAO location identifier	KABI
Hip hop	came from	funk music
Adolfo Suárez Madrid–Barajas Airport	has runway length	3,500
Abilene Regional Airport	has runway length	2194 metres
Walter Baade	was born in	German Empire
Romania	prime minister is	Klaus Iohannis
Flemish department of Mobility and Public Works	is operating organisation of	Antwerp International Airport
AIDAstella	operated by	AIDA Cruise Line
1097 Vicia	apoapsis	511592000.0 km
America	is where	Albuquerque, New Mexico is located
107 Camilla	periapsis	479343000.0 kms
Standard Chinese	is spoken in	Singapore
Andra	performs	rhythm and blues music
Al Asad airbase	operated by	United States Air Force
Aaron Deer	has background as	solo singer
Boeing C-17 Globemaster III	is a	transport aircraft
Accademia di Architettura di Mendrisio	dean is	Mario Botta
Agnes Kant	worked as	Parliamentary group leader
James Craig Watson	Alma mater was	University of Michigan
Brian Robertson	is a	trombonist
Abilene Regional Airport	has runway length	2194.0
Allen Forrest	musical genre is	hip hop music
Allan Sandage	was one of his doctoral students	Walter Baade
Manhattan	is part of	New York City
Arros negre	is from	Valencian Community of Spain
Italy	language spoken is	Italian
Al Asad airbase	operated by	The United States Air Force
Baymax	created by	Duncan Rouleau
Alan Shepard	died in	California
Sri Lanka	capital city is	Sri Jayawardenepura Kotte
Native Americans	are an ethnic group in	United States
Washington DC	is capital of	US
Indonesia	led by president	Joko Widodo
Dáil Éireann	is a leader in	Dublin
Albuquerque	total area	490.9 sq km
Eastern Province of Sri Lanka	leader is	Austin Fernando
Antwerp International Airport	serves	city of Antwerp
rhythm and blues	originated from	blues
Chinabank	has net income of	$15,100,000,000
Silvano Aureoles Conejo	led	Mexico
Arrabbiata sauce	can be found in	Italy
Abraham A Ribicoff	married to	Casey Ribicoff
Joe Biden	is leader of	United States
Ardmore Airport, New Zealand	runway called	03R/21L
Ayam penyet	found in	Java
Antares rocket	launched from	Mid-Atlantic Regional Spaceport
Runway 4/22	length	1873
people of Texas	are called	Texans
Elliot See	was born in	Dallas
Valencian Community of Spain	led by	Ximo Puig
Antonis Samaras	born in	Athens
Baku Turkish Martyrs memorial	designed by	Hilmi Guner
Igorot people	are ethnic group in	Philippines
Amdavad ni Gufa	is in	Gujarat, Ahmedabad
Andrews County Airport	has runway length	896
Baku Turkish Martyrs' Memorial	built using	white marble
Walter Baade	graduated from	University of Gottingen
Williamson County Texas	county seat is	Georgetown
Adisham Hall	is in	Haputale, Sri Lanka
Ireland	situated within	Europe
Adolfo Suárez Madrid–Barajas Airport	can be found in	Madrid
Alan Shepard	was born in	New Hampshire
Caterpillar Inc.	powers	AIDAluna
Baku Turkish Martyrs' Memorial	dedicated to	Ottoman Army soldiers killed in Battle of Baku
Lockheed AC-130	can be found on	USAF aircraft carriers
city of Lahore	is in	Pakistan
Aaron Turner	performs for	House of Low Culture
Baked Alaska	originates from	France
Texas	is in	United States
Alvah Sabin	died in	Sycamore, Illinois
Madrid	is part of	Community of Madrid
President of the United States	supported by	United States of America`s Chief Justice, John Roberts
Abdul Taib Mahmud	is member of	Parti Pesaka Bumiputera Bersatu
Barack Obama	is leader of	United States
Austin	is capital city of	Texas
Alex Day	is associated with artist	Chameleon Circuit
Alan Frew	is a	Singer
Antwerp International Airport	owned by	Flemish Region
transport aircraft for United States Air Force	is	Lockheed C-130 Hercules
Alberto Teisaire	born in	Mendoza, Argentina
AMC Matador	also known as	American Motors Matador
Asser Levy Public Baths	added to National Register of Historic Places on	1980-04-23
Antares rocket	launched from	Mid-Atlantic Regional Spaceport
Philippines	is country	Batchoy comes from
United States	ethnic groups include	Asian Americans
1147 Stavropolis	has apoapsis	418476000000.0
Anders Osborne	signed with	Okeh Records
Anders Osborne	genre is	rhythm and blues
Ajoblanco	made with	almonds
Atlantic City International Airport	elevation	23 metres
Acharya Institute of Technology	established in	2000
Karnataka	west of	Arabian Sea
Cornell University	affiliated with	Association of Public and Land-grant Universities
Shehbaz Sharif	is leader of	Punjab, Pakistan
Spain	is home to	Spaniards
Atlanta Falcons	location	Atlanta
US Airforce	has	Boeing C-17 Globemaster III transport aircraft
Appleton International Airport	serves	city of Appleton
Agustin Barboza	is ethnic	mestizo
Great Britain	language is	English
Spain	people that live there are called	Spaniards
Accademia di Architettura di Mendrisio	staff	100
AIDAstella	owned by	Costa Crociere
Andrew White	is artist of	Polydor Records
Aaron Bertram	plays for	Kids Imagine Nation
Albuquerque	area codes	575
Netherlands	currency is	euro
Minotaur V	launched at	Mid-Atlantic Regional Spaceport Launch Pad 0
country music	originates from	blues
Antwerp International Airport	operated by	Flemish Department of Mobility and Public Works
Andrew Rayel	started Trance in	2009
United States	language	English
Bhangra music	is a musical fusion of	rock music
Acharya Institute of Technology	affiliated with	Visvesvaraya Technological University
Paraguay	language spoken is	Spanish
Elliot See	was born in	Dallas
Abdul Taib Mahmud	born in	Kingdom of Sarawak
Pakistan	is led by	Anwar Zaheer Jamali
Native Americans	ethnic group in	United States
Ayam Penyet	contains	fried chicken
Trane	manufactures	building management systems
Rock	comes from	country music
Hypermarcas	founded on	January 1, 2001
Ferencvarosi TC	manager is	Thomas Doll
United Kingdom	language is	English
Appleton International Airport	is in	Greenville (part of Menasha), Clayton Winnebago County, Wisconsin, United States
United States	anthem is	The Star Spangled Banner
Austin	is Capital city of	Texas
Spain	people are called	Spaniards
Andrew Rayel	is associated with	Jonathan Mendelsohn
Auburn	is part of	Lee County
Appleton International Airport	has runway length	2,439 kilometers
Rock	originates from	country music
Alberto Teisaire	succeeded by	Isaac Rojas
Binignit	contains	banana
Arifin Zakaria	is country's leader of	Malaysia
Alan Frew	has background as	solo singer
Alberto Teisaire	branch	Argentine Navy
Sri Lanka	language spoken is	Tamil
president	is leader of	United States
Lee County, Alabama	is in	United States
Alfred Garth Jones	was born in	Manchester
Alan Shepard	served as	test pilot
United States	capital is	Washington, D.C.
bionico	can be found in	Guadalajara region
Walter Baade	discovered	1036 Ganymed
Delta II	originated in	United States
Appleton International Airport	is located in	Greenville, Wisconsin
John Madin	was born in	Birmingham
United States Air Force	has aircraft type	Boeing C-17 Globemaster III transport aircraft
Indonesia	leaders are	Joko Widodo
Ardmore Airport (New Zealand)	is above sea level	34 m
France	leader is	Gerard Larcher
Karnataka state	home to	Acharya Institute of Technology
Texas	largest city is	Fort Worth
Elliot See	studied at	Austin University
Baku Turkish Martyrs' Memorial	in	Azerbaijan
Albany	is a city in	Linn County, Oregon
Apollo 12 mission	role	crew member
Abdulsalami Abubakar	in office whilst	Mike Akhigbe was Vice President
Elliot See	attended	University of Texas at Austin
The Secret Scripture	is sequel to	A Long Long Way
Albuquerque	population density	1142.3 persons per sq km
United Kingdom	led by	Elizabeth II
Baku Turkish Martyrs' Memorial	dedicated to	Ottoman Army soldiers killed in Battle of Baku
Alhambra	made by	Samuda Brothers
Alan Frew	is a	rock musician
Texas	largest city is	Houston
AEK Athens FC	managed by	Gus Poyet
Neptun Werft	from	Rostock, Germany
Antwerp International Airport	runway length	600.0
Ajoblanco	contains	olive oil
Aleksandr Prudnikov	now plays for	FC Terek Grozny
Malay Peninsula	is home to dish	Asam pedas
Angola International Airport	elevation	159 meters
(66063) 1998 RO1	has escape velocity	0.0999 km/sec
Allama Iqbal International Airport	is operated by	Pakistan Civil Aviation Authority
Ariane 5	is in diameter	5.4 m
Adolfo Suárez Madrid-Barajas Airport	runway name	14L/32R
Angola International airport	is located in	Icolo e Bengo
University of Texas at Austin	affiliated with	University of Texas System
Baku Turkish Martyrs' Memorial	dedicated to	Ottoman Army soldiers killed in Battle of Baku
Aston Martin V8	succeeded by	Aston Martin Virage
Ayam penyet	is a food made in	Java regions of Malaysia
Bacon Explosion	comes from	United States
Malaysia	ethnic groups include	Malaysian Indian
Estadio Municipal Coaracy da Mata Fonseca	located in	Arapiraca
Chinabank	has	295 banking centers
Aaron Bertram	plays for	Suburban Legends Band
Acharya Institute of Technology campus	status given by	All India Council for Technical Education
Costa Crociere	subsidiary of	Carnival Corporation & Plc
Al Kharaitiyat SC	plays in	Qatar Stars league
Malaysia	inhabited by	Malaysian Chinese
Antares rocket	made final flight on	September 18th, 2013
Uruguay	is	Spanish speaking
Halimah Yacob	is leader of	Singapore
Brazil	has population density of	23.8 per square kilometer
Allen Forrest	date of birth is	04th February 1981
Linn County, Oregon	is in	United States
William Anders	served under commander	Frank Borman
Administrative Science Quarterly	published by	Cornell University
Singapore	language spoken	English
English	is one of languages spoken in	Singapore
Duncan Rouleau	nationality	American
Aaron Turner	has played with	black metal band Twilight
Abilene Regional Airport	serves	city of Abilene
Walter Baade	died in	West Germany
Julia Morgan	was architect behind	Chinatown in San Francisco
Trane	was founded in	La Crosse, Wisconsin
Jones County	is in	Texas
Andrew Rayel	is an associate of	Christian Burns
Atlas II	final lift off	March 16, 1998
United States	ethnic group	Native Americans
Costa Crociere	location	Genoa
Mid-Atlantic Regional Spaceport Launch Pad 0	associated with rocket	Minotaur IV
Ace Wilder	was born in	country of Sweden
Abilene, Texas	is served by	Abilene Regional Airport
Agremiação Sportiva Arapiraquense	has	17000 members
Ardmore Airport (New Zealand)	3rd runway made of	Poaceae
Acharya Institute of Technology	exact location is	Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090
Alex Day	was born in	London Borough of Havering
Al Asad Airbase	operated by	United States Air Force
Lockheed AC-130	can be found on	USAF aircraft carriers
Albany, Georgia	is in	United States
Adenan Satem	attended	University of Adelaide
Atlantic City International Airport	elevation	23 metres
101 Helena	discovered on	August 15th 1868
ALCO RS-3	produced from	May 1950 to August 1956
Abradab	started performing in	1994
107 Camilla	orbital period	2,368.05 days
Native Americans	are an ethnic group in	US
Burlington	is largest city in	Vermont
Buenos Aires	governing body is	Buenos Aires City Legislature
Abdulsalami Abubakar	ended career on	May 29th, 1999
Bakso	is popular in	Southeastern Asian countries
Albany, Oregon	is in	Linn County
N.R. Pogson	born in	Nottingham
Paraguay	uses language	Spanish
olive oil	are main ingredients in	Amatriciana sauce
Andrew Rayel	is associated with	Bobina
United States Air Force	has aircraft type	Lockheed AC-130
US	ethnic group	Native Americans
United States	includes ethnic group	Asian Americans
Baku Turkish Martyrs' Memorial	dedicated to	Ottoman Army soldiers killed in Battle of Baku
Amatriciana sauce	can be found in	Italian food
Al Kharaitiyat SC	home ground at	Al Khor
Baymax	created by	Duncan Rouleau
Benton County	is in	Oregon
Julia Morgan	was born in	California
Adolfo Suárez Madrid–Barajas Airport	has runway length	4,349 kilometers
Manhattan	leader is	Gale Brewer
Akita Museum of Art	is in	city of Akita, Japan
France	leader is	Gérard Larcher
James Craig Watson	nationality	Canadian
Valencian Community of Spain	home to	Spaniards
Tennessee Titans	coach	Mike Mularkey
Tennessee Titans	coached by	Mike Mularkey
Akeem Ayers	played with	Los Angeles Rams
Trane	is a	subsidiary company
Indonesia	leaders are	Jusuf Kalla
Al Kharaitiyat SC	managed by	Amar Osim
Elliot See	studied at	University of Texas in Austin
Malaysian chinese	is ethnic group in	Malaysia
Ashgabat International Airport	is above sea level	211 metres
Antwerp International Airport	serves	Antwerp
Baku Turkish Martyrs' Memorial	material	red granite
Vila Nova Futebol Clube	have been champions of	Campeonato Brasileiro Série C. league
The Secret Scripture	published by	Faber and Faber
AMC Matador	classified as	mid-size car
Gus Poyet	played for	Chelsea F.C.
Ajoblanco	contains	garlic
United States	President	Barack Obama
Death metal	is a musical fusion of	black metal
Ahmet Ertegun	genre is	rhythm and blues
Julia Morgan	significant projects include	Hearst Castle
Alan Frew	was born in	Coatbridge
United States Air Force	is operating organisation for	Al Asad airbase
Asser Levy Public Baths	is located at	23rd Street (Manhattan)
Above the Veil	is an	Australian novel
Alex Day	started performing in	2006
Alvah Sabin	died in	Sycamore, Illinois
African Americans	are one ethnic group in	United States
Ajoblanco	is a dish from	Andalusian region of Spain
Dublin	is part of	Leinster
Delta II	launched at	Vandenberg Air Force Base
Juan Afara	is country's leader of	Paraguay
Japan	leader is	Taro Aso
Andrews County Airport	is located in	Texas
Baku Turkish Martyrs' Memorial	dedicated to	Ottoman Army Soldiers killed in Battle of Baku
English	is official language in	Philippines
Indonesia	language spoken is	Indonesian
United States House of Representatives	leads	Anaheim, California
1097 Vicia	epoch date	2006.12.31
Egg Harbor Township	is a part of	Atlantic County, New Jersey
Lockheed AC-130	can be found on	USAF aircraft carriers
A.C. Milan	chaired by	Silvio Berlusconi
Agustin Barboza	died in	Asunción
Aleksandr Prudnikov	later played for	FC Amkar Perm football club
Antioch	total area	75.324 square km
Chinabank	has	295 locations
Bhangra	is a	rock fusion
Elliot See	was born in	Dallas
Ariane 5	made by	European Space Agency
USAF	has been involved in	invasion of Panama
3Arena	owned by	Live Nation Entertainment
Asilomar Conference Grounds	National Register of Historic Places reference number	87000823
Indonesia	capital is	Jakarta
English	is language spoken in	United States
Asilomar Conference Grounds	added to National Register of Historic Places on	27 February 1987
Baku Turkish Martyrs' Memorial	designed by	Hilmi Guner
Stanislaw Tillich	is leader of	Germany
Aaron Turner	is a musician who loves	Sludge metal
Aaron Turner	performs for	Mamiffer
Antares rocket	manufactured by	Yuzhnoye Design Office
Alessio Romagnoli	is member of	Italian national under 17 football team
Rock	has origins in	country
Atlantic City International airport	elevation	23.0 meters
11th Mississippi Infantry monument	is located in	Gettysburg, Adams County, Pennsylvania
United States	inhabitants are referred to as	Americans
Andrew Rayel	is associated with musical artist	Christian Burns
Aaron Bertram	is an artist with	Kids Imagine Nation
aircraft found on USAF carriers	include	Lockheed AC-130
United States	capital is	Washington D.C.
N.R. Pogson	born in	Nottingham, England
Atlanta Falcons	team owner is	Arthur Blank
Chicago	leader is	Rahm Emanuel
Italy	capital is	Rome
Ayam penyet	originates from	Indonesia
(66391) 1999 KW4	has apoapsis	162164091.8388 km
Karnataka state	northwest of	Telangana
Birmingham	is birthplace of	John Madin
Aleksandr Prudnikov	plays for	Amkar Perm football club
Alan Bean	nationality	American
Albert B White	married to	Agnes Ward White
Frank Borman	was Commander of	Apollo 8
Abiliene	is part of	Jones County
Lee County (Alabama)	county seat is	Opelika
Alessio Romagnoli	more recently played for	AC Milan
Spanish language	is spoken in	Anaheim, California
United States	capital city is	Washington D.C.
Asilomar Conference Grounds	National Register of Historic Places reference number	87000823
Bangalore	founded by	Kempe Gowda
Vermont	largest city is	Burlington
San Francisco bay area	is part of	Contra Costa County
Alison O'Donnell	began music career in	1963
Abilene Regional Airport	elevation	546 metres
Abilene Regional Airport	serves	Abilene
Spanish	is one of languages spoken in	Texas
Alfredo Zitarrosa	associated with musician	Héctor Numa Moraes
San Francisco Bay area	is in	California
Madison County	largest city is	Anderson
FC Terek Grozny club	manager	Rashid Rakhimov
bionico	served for	dessert
honey	can be added to	bionico
Andrew Rayel	is associated with	Jonny Rose
(66063) 1998 RO1	has orbital period	360.29 days
Chinabank	is a	publicly traded company
AIDAstella	built by	Meyer Werft
Andrew Rayel	started career in	2009
Ilocano people	are ethnic group in	Philippines
Adisham Hall	is located in	Sri Lanka
GMA New Media	is a	mass media industry
Alan Bean	served as	test pilot
Italy	inhabitants are	Italians
Antonis Samaras	served when	K. Mitsotakis was Prime Minister
A-Rosa Luna	builder is	Neptun Werft
ALCO RS-3	produced by	American Locomotive Company
Akita Museum of Art	is in	Akita, Akita
Antares rocket	comparable to	Delta II
Baku Turkish Martyrs' Memorial	material	white marble
Alessio Romagnoli	plays for	Italy's national under-17 football team
Alhambra	owned by	P&O
Gus Poyet	club is	Real Zaragoza
Andra	began career as	solo singer
Americans	are inhabitants of	United States
107 Camilla	discovered by	F Vilas
Baked Alaska	comes from	France
Aleksandr Prudnikov	represented	FC Spartak Moscow at youth level
France	language is	French
European parliament	is leader of	London
Audi A1	has layout	front-engine with front-wheel-drive
Abdul Taib Mahmud	lives in	Demak Jaya, Jalan Bako, Kuching, Sarawak
Agra Airport	is in	Uttar Pradesh
Vermont	represented by	Alvah Sabin
Barny Cakes	made from	sponge cake
Appleton International Airport	serves	city of Appleton
Alan Shepard	born in	New Hampshire
Alan Shepard	was born on	18 November 1923
Ferencvarosi TC	managed by	Thomas Doll
United States	leader is	Barack Obama
Antares rocket	compares to	Delta II US born rocket
Sidcup, London	led by	European Parliament
Hailemariam Desalegn	is leader within	Ethiopia
10 Hygiea	surface area	837080.744 square kilometres
James Craig Watson	died in	Madison, Wisconsin
Acharya Institute of Technology	founded by	Kempe Gowda I
Alan Shepard	joined NASA in	1959
Auburn	is part of	Lee County, Alabama
Antares rocket	maiden flight on	28th October, 2014
Sri Lanka	leader is	Ranil Wickremesinghe
Indiana	is where	city of Anderson is located
Abilene Regional Airport	has runway length	2194.0
Bananaman	first aired on	October 3rd, 1983
Gus Poyet	club is	Real Zaragoza
Silvano Aureoles Conejo	is leader of	Mexico
Alfredo Zitarrosa	recorded songs with	RCA Records Label
Aaron Turner	plays for genre	black metal
Ajoblanco	made with	bread
Alvah Sabin	born in	Georgia, Vermont
Agustin Barboza	was born in	Asuncion, Paraguay
Campeonato Brasileiro Série C league	from	Brazil
Ferencvarosi TC	managed by	Thomas Doll
Distinguished Service Medal	is higher than	Department of Commerce Gold Medal
Arabic	is language spoken in	Philippines
France	language spoken	French
Andrew Rayel	is associated with musical artist	Jwaydan
Abilene Regional Airport	ICAO identifier	KABI
AEK Athens FC	compete in	Greece Superleague
Alvah Sabin	was from	Vermont
Albuquerque	led by	Albuquerque City Council
Aaron Bertram	is a	ska punk musician
cookie	can be served as	dessert
Estádio Municipal Coaracy da Mata Fonseca	is ground of	Agremiação Sportiva Arapiraquense
Allama Iqbal International Airport	operated by	Pakistan Civil Aviation Authority
1089 Tama	epoch date	2005/11/26
Rock	lending itself to	Bhangra fusion
Appleton International Airport	located in	Greenville, Wisconsin
Labour Party	is leader of	Manchester
Andrews County Airport	elevation	973 metres
Alvah Sabin	died in	Sycamore, Illinois
William Anders	was member of	Apollo 8 crew
Hypermarcas	founded	January 1, 2001
Prime Minister of Azerbaijan	is official title of leader	Artur Rasizade
Uttar Pradesh	leader is	Ram Naik
Ilocano people	are ethnic group from	Philippines
Anderson, Indiana	area	107.43 square kilometres
Atlas II	diameter	3.04 m
Alberto Teisaire	born on	May 20th, 1891
James Craig Watson	cause of death	peritonitis
Aaron Turner	is a	black metal musician
107 Camilla	discovered on	November 17th 1868
Baku Turkish Martyrs' Memorial	designed by	Hilmi Güner
Abraham A Ribicoff	born in	Connecticut
Estadio Municipal Coaracy da Mata Fonseca	located in	Arapiraca
Agnes Kant	is member of	Socialist Party in Netherlands
Agremiação Sportiva Arapiraquense	play in	Campeonato Brasileiro Série C. league
Andrew Rayel	is a	String instrumentalist
Above the Veil	later followed by	Into Battle
Auburn	is part of	Lee County (Alabama)
Mulatu Teshome	is leader within	Ethiopia
Ashgabat International Airport	runway length	2989.0
United States Air Force	are operators of	Al Asad airbase
James Craig Watson	died of	peritonitis
AMC Matador	is a	mid-size station wagon
Abdul Taib Mahmud	born in	Kingdom of Sarawak
Atlas II	sent from	Spaceport Florida Launch Complex 36
runway 12R/30L	is above sea level	211m
Trane	has	29,000 employees
Abilene regional airport	serves	Abiliene
Abraham A. Ribicoff	born in	Connecticut, US
Acharya Institute of Technology campus	directed by	Dr. G. Prabhukumar
Ampara Hospital	is situated in	Eastern Province state of Sri Lanka
Atlanta Falcons	owned by	Arthur Blank
Indianapolis	is capital of	Indiana
English	spoken in	Great Britain
community of Madrid	in	Spain
Antares rocket	diameter	3.9m
Aaron Deer	born in	United States
Abilene	is in	Jones County
Adolfo Suárez Madrid-Barajas Airport	operated by	ENAIRE
Audi A1	contains layout	front wheel drive
Elliot See	was born in	Dallas county, Texas
Bandeja paisa	is typical	Colombian cuisine
Alan Frew	is a	singer
Angola International airport	elevation	159 meters
US	language spoken is	English
Phillippine English	is language spoken in	Philippines
Montevideo, Uruguay	place of death for	Alfredo Zitarrosa
School of Business and Social Sciences at Aarhus University	in	Denmark
US	is location of	Albany
Spanish	is official language of	Paraguay
Abilene	is in	Texas, United States
Baku Turkish Martyrs' Memorial	designed by	Hilmi Güner
Montevideo	is in	Uruguay
Delta II	is from	United States
Cumberland County	is in	Pennsylvania
Accademia di Architettura di Mendrisio	location	Ticino
United Kingdom	leaders are	Elizabeth II
United Kingdom	uses language	English
School of Business and Social Sciences at Aarhus University	staff compliment	737
United states Delta II	launched from	Cape Canaveral Air Force Station
Sri Lanka	capital is	Sri Jayawardenepura Kotte
Anders Osborne	met musical artist	Tab Benoit
death metal	is a	fusion genre
Romania	capital is	Bucharest
Sri Lanka	currency is	Sri Lankan rupee
Humphrys, Tennant and Dykes	located in	Deptford
Antares rocket	manufactured by	Yuzhnoye Design Office
AI Anderson	is a	Rock guitarist
Texas	largest city is	Houston
